id,codigo,titulo,tipo,VentaPreventa,precio,ubicacion,descripcion,habitaciones,banos,metros2,imagenes
650e8400-e29b-41d4-a716-446655440001,PROP001,Casa moderna con jardín,Casa,Venta,1850000,Zona 1 Quetzaltenango,"Hermosa casa de dos niveles con amplio jardín, cochera para 2 vehículos, sala comedor, cocina equipada y área de lavandería. Excelente ubicación cerca de comercios y escuelas.",4,3,180,"[""https://images.unsplash.com/photo-1568605114967-8130f3a36994"",""https://images.unsplash.com/photo-1570129477492-45c003edd2be"",""https://images.unsplash.com/photo-1564013799919-ab600027ffc6""]"
650e8400-e29b-41d4-a716-446655440002,PROP002,Apartamento céntrico amueblado,Apartamento,Venta,950000,Zona 3 Centro Histórico,"Apartamento completamente amueblado en el corazón de Xela, 2do piso, vista a la plaza central. Incluye todos los servicios y parqueo techado. Ideal para profesionales o parejas.",2,2,85,"[""https://images.unsplash.com/photo-1522708323590-d24dbb6b0267"",""https://images.unsplash.com/photo-1502672260266-1c1ef2d93688"",""https://images.unsplash.com/photo-1560448204-e02f11c3d0e2""]"
650e8400-e29b-41d4-a716-446655440003,PROP003,Terreno comercial principal,Terreno,Venta,2500000,Calzada Independencia,"Terreno comercial de esquina sobre vía principal, ideal para negocio o desarrollo comercial. Todos los servicios disponibles, zonificación comercial aprobada.",0,0,350,"[""https://images.unsplash.com/photo-1500382017468-9049fed747ef"",""https://images.unsplash.com/photo-1419242902214-272b3f66ee7a""]"
650e8400-e29b-41d4-a716-446655440004,PROP004,Casa colonial restaurada,Casa,Venta,2750000,Zona 1 Centro,"Casa colonial completamente restaurada conservando detalles originales. Amplios espacios, patio interno, 3 niveles. Perfecta para residencia u hostal boutique.",5,4,320,"[""https://images.unsplash.com/photo-1600596542815-ffad4c1539a9"",""https://images.unsplash.com/photo-1600607687939-ce8a6c25118c"",""https://images.unsplash.com/photo-1600585154340-be6161a56a0c""]"
650e8400-e29b-41d4-a716-446655440005,PROP005,Apartamento Vista Hermosa,Apartamento,Preventa,1200000,Zona 8 Vista Hermosa,"Moderno apartamento en conjunto residencial privado con seguridad 24/7. Balcón con vista panorámica, área de BBQ común, gimnasio y salón de eventos.",3,2,110,"[""https://images.unsplash.com/photo-1545324418-cc1a3fa10c00"",""https://images.unsplash.com/photo-1512917774080-9991f1c4c750"",""https://images.unsplash.com/photo-1493809842364-78817add7ffb""]"
650e8400-e29b-41d4-a716-446655440006,PROP006,Terreno residencial Los Altos,Terreno,Venta,850000,Zona 5 Los Altos de Xela,"Terreno plano en zona residencial exclusiva, rodeado de naturaleza. Servicios básicos al pie del terreno. Ideal para construir casa de campo o proyecto eco-turístico.",0,0,500,"[""https://images.unsplash.com/photo-1500382017468-9049fed747ef"",""https://images.unsplash.com/photo-1464146072230-91cabc968266""]"
650e8400-e29b-41d4-a716-446655440007,PROP007,Casa con local comercial,Casa,Venta,1650000,Zona 2 Quetzaltenango,"Propiedad mixta perfecta para negocio familiar. Local comercial en primer nivel con medio baño, vivienda en segundo nivel con 3 habitaciones. Excelente ubicación comercial.",3,2,200,"[""https://images.unsplash.com/photo-1583608205776-bfd35f0d9f83"",""https://images.unsplash.com/photo-1580587771525-78b9dba3b914"",""https://images.unsplash.com/photo-1600585154526-990dced4db0d""]"
650e8400-e29b-41d4-a716-446655440008,PROP008,Apartamento tipo loft,Apartamento,Venta,780000,Zona 4 La Democracia,"Loft moderno estilo industrial, concepto abierto, doble altura. Cocina americana integrada, acabados de primera. Edificio nuevo con ascensor.",1,1,65,"[""https://images.unsplash.com/photo-1502672260266-1c1ef2d93688"",""https://images.unsplash.com/photo-1536376072261-38c75010e6c9""]"
650e8400-e29b-41d4-a716-446655440009,PROP009,Casa campestre con vista,Casa,Preventa,3200000,Km 220 Carretera a Zunil,"Casa de descanso con espectacular vista al valle. Chimenea, terraza amplia, jardín con árboles frutales. Ambiente tranquilo y seguro. Ideal para retiro o Airbnb.",4,3,250,"[""https://images.unsplash.com/photo-1613977257363-707ba9348227"",""https://images.unsplash.com/photo-1600607687644-c7171b42498b"",""https://images.unsplash.com/photo-1600607687920-4e2a09cf159d""]"
650e8400-e29b-41d4-a716-446655440010,PROP010,Terreno urbanizable La Pedrera,Terreno,Preventa,1450000,Zona 7 La Pedrera,"Terreno esquinero en zona de alto crecimiento, ideal para desarrollo de condominios o apartamentos. Factibilidad de servicios aprobada. Excelente inversión.",0,0,800,"[""https://images.unsplash.com/photo-1500382017468-9049fed747ef"",""https://images.unsplash.com/photo-1559827260-dc66d52bef19""]"